Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0 ,HOUR_5,HOUR_8,HOUR_18
Melanoma,1,Unstransfected,No_SDF1,1,592955,447499,391817,192476
Melanoma,1,Unstransfected,No_SDF1,2,648826,479365,371440,71604
Melanoma,1,Unstransfected,No_SDF1,3,560813,399460,333503,61477
Melanoma,1,Unstransfected,No_SDF1,4,590277,408335,284699,127940
Melanoma,1,Scramble,No_SDF1,1,769066,632308,576298,274291
Melanoma,1,Scramble,No_SDF1,2,752398,602404,554921,183962
Melanoma,1,Scramble,No_SDF1,3,763746,615149,498650,294310
Melanoma,1,Scramble,No_SDF1,4,727508,562351,530577,121504
Melanoma,1,CXCR7_siRNA,No_SDF1,1,686066,548822,480862,227217
Melanoma,1,CXCR7_siRNA,No_SDF1,2,675663,528044,490524,140889
Melanoma,1,CXCR7_siRNA,No_SDF1,3,714330,556939,513706,298241
Melanoma,1,CXCR7_siRNA,No_SDF1,4,805110,452525,565183,183807
Melanoma,1,Unstransfected,SDF1,1,609451,477459,408376,178530
Melanoma,1,Unstransfected,SDF1,2,653349,459458,386945,94417
Melanoma,1,Unstransfected,SDF1,3,657669,479138,346392,127571
Melanoma,1,Unstransfected,SDF1,4,566846,443716,357530,92715
Melanoma,1,Scramble,SDF1,1,601602,528433,504511,138547
Melanoma,1,Scramble,SDF1,2,575549,468731,438840,100114
Melanoma,1,Scramble,SDF1,3,625037,545664,420031,175535
Melanoma,1,Scramble,SDF1,4,609125,529795,437759,137359
Melanoma,1,CXCR7_siRNA,SDF1,1,954257,639803,550681,480472
Melanoma,1,CXCR7_siRNA,SDF1,2,895799,666119,601387,353161
Melanoma,1,CXCR7_siRNA,SDF1,3,683110,521883,512224,252308
Melanoma,1,CXCR7_siRNA,SDF1,4,838348,692177,574007,323175
Melanoma,2,Unstransfected,No_SDF1,1,639579,610879,453399,145873
Melanoma,2,Unstransfected,No_SDF1,2,705004,591566,525893,196327
Melanoma,2,Unstransfected,No_SDF1,3,651034,431170,360660,145261
Melanoma,2,Unstransfected,No_SDF1,4,576858,427754,262373,105417
Melanoma,2,Scramble,No_SDF1,1,652369,545889,489070,365027
Melanoma,2,Scramble,No_SDF1,2,622657,507649,458711,161251
