Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0,HOUR_5,HOUR_8,HOUR_18
Melanocytes,1,Unstransfected,No_SDF1,1,645552,581790,474088,305145
Melanocytes,1,Unstransfected,No_SDF1,2,574685,409696,380177,298787
Melanocytes,1,Unstransfected,No_SDF1,3,627046,565355,458406,162580
Melanocytes,1,Unstransfected,No_SDF1,4,631836,460564,366626,208644
Melanocytes,1,Scramble,No_SDF1,1,524812,458959,404298,29290
Melanocytes,1,Scramble,No_SDF1,2,634933,430453,314675,58413
Melanocytes,1,Scramble,No_SDF1,3,633791,488997,352173,60078
Melanocytes,1,Scramble,No_SDF1,4,566882,407632,330469,177214
Melanocytes,1,CXCR7_siRNA,No_SDF1,1,659482,539615,422321,276971
Melanocytes,1,CXCR7_siRNA,No_SDF1,2,658264,584107,524329,240614
Melanocytes,1,CXCR7_siRNA,No_SDF1,3,610796,532805,405850,187922
Melanocytes,1,CXCR7_siRNA,No_SDF1,4,739726,607753,529583,205613
Melanocytes,1,Unstransfected,SDF1,1,543349,410463,323749,246198
Melanocytes,1,Unstransfected,SDF1,2,600456,515782,441408,201172
Melanocytes,1,Unstransfected,SDF1,3,535053,415508,323676,100186
Melanocytes,1,Unstransfected,SDF1,4,614395,404088,351739,249728
Melanocytes,1,Scramble,SDF1,1,616091,438517,323265,70149
Melanocytes,1,Scramble,SDF1,2,640313,460813,384351,145756
Melanocytes,1,Scramble,SDF1,3,608230,522569,353415,130851
Melanocytes,1,Scramble,SDF1,4,657715,462136,402536,110175
Melanocytes,1,CXCR7_siRNA,SDF1,1,662548,501350,304327,131755
Melanocytes,1,CXCR7_siRNA,SDF1,2,686581,542795,369093,109291
Melanocytes,1,CXCR7_siRNA,SDF1,3,635171,408419,257308,243342
Melanocytes,1,CXCR7_siRNA,SDF1,4,674351,565937,456943,133103
Melanocytes,2,Unstransfected,No_SDF1,1,671076,568503,537291,0
Melanocytes,2,Unstransfected,No_SDF1,2,666723,616245,566569,344226
Melanocytes,2,Unstransfected,No_SDF1,3,671922,519801,402019,299021
Melanocytes,2,Unstransfected,No_SDF1,4,660711,565925,470180,241535
Melanocytes,2,Scramble,No_SDF1,1,645676,531480,397890,192132
Melanocytes,2,Scramble,No_SDF1,2,581179,444083,362874,170394
Melanocytes,2,Scramble,No_SDF1,3,616074,438864,357154,154474
Melanocytes,2,Scramble,No_SDF1,4,675151,501788,392181,142356
Melanocytes,2,CXCR7_siRNA,No_SDF1,1,582801,463125,325648,148181
Melanocytes,2,CXCR7_siRNA,No_SDF1,2,654967,536909,347837,106952
Melanocytes,2,CXCR7_siRNA,No_SDF1,3,637684,478732,374102,187960
Melanocytes,2,CXCR7_siRNA,No_SDF1,4,716803,515540,387198,162388
Melanocytes,2,Unstransfected,SDF1,1,621923,545391,518755,265283
Melanocytes,2,Unstransfected,SDF1,2,648270,548773,466637,260140
Melanocytes,2,Unstransfected,SDF1,3,658600,494738,307722,257133
Melanocytes,2,Unstransfected,SDF1,4,688027,582678,476106,250193
Melanocytes,2,Scramble,SDF1,1,642683,421235,342460,140179
Melanocytes,2,Scramble,SDF1,2,649605,517189,427960,161616
Melanocytes,2,Scramble,SDF1,3,624496,407816,347809,152319
Melanocytes,2,Scramble,SDF1,4,670445,475915,412982,216414
Melanocytes,2,CXCR7_siRNA,SDF1,1,660474,470371,355806,96637
Melanocytes,2,CXCR7_siRNA,SDF1,2,652963,490428,329265,100940
Melanocytes,2,CXCR7_siRNA,SDF1,3,616238,421470,356795,132090
Melanocytes,2,CXCR7_siRNA,SDF1,4,630827,574517,433429,153537
Melanocytes,3,Unstransfected,No_SDF1,1,590519,539295,473884,337523
Melanocytes,3,Unstransfected,No_SDF1,2,653591,569275,467126,431277
Melanocytes,3,Unstransfected,No_SDF1,3,612798,565613,485492,384319
Melanocytes,3,Unstransfected,No_SDF1,4,694345,594877,433080,365469
Melanocytes,3,Scramble,No_SDF1,1,609945,503312,495881,314205
Melanocytes,3,Scramble,No_SDF1,2,661048,546067,441740,359499
Melanocytes,3,Scramble,No_SDF1,3,595818,402223,376107,260707
Melanocytes,3,Scramble,No_SDF1,4,677107,592628,493660,399061
Melanocytes,3,CXCR7_siRNA,No_SDF1,1,635181,492186,448558,215020
Melanocytes,3,CXCR7_siRNA,No_SDF1,2,710993,640172,482633,192785
Melanocytes,3,CXCR7_siRNA,No_SDF1,3,659246,573785,499489,221854
Melanocytes,3,CXCR7_siRNA,No_SDF1,4,624517,546095,426412,299582
