"","Cell_type","Replicate","siRNA","Treatment","Intersection","Time_Period","Values"
"1","Melanocytes",1,"Unstransfected","No_SDF1",1,"HOUR_0",645552
"2","Melanocytes",1,"Unstransfected","No_SDF1",1,"HOUR_5",581790
"3","Melanocytes",1,"Unstransfected","No_SDF1",1,"HOUR_8",474088
"4","Melanocytes",1,"Unstransfected","No_SDF1",1,"HOUR_18",305145
"5","Melanocytes",1,"Unstransfected","No_SDF1",2,"HOUR_0",574685
"6","Melanocytes",1,"Unstransfected","No_SDF1",2,"HOUR_5",409696
"7","Melanocytes",1,"Unstransfected","No_SDF1",2,"HOUR_8",380177
"8","Melanocytes",1,"Unstransfected","No_SDF1",2,"HOUR_18",298787
"9","Melanocytes",1,"Unstransfected","No_SDF1",3,"HOUR_0",627046
"10","Melanocytes",1,"Unstransfected","No_SDF1",3,"HOUR_5",565355
"11","Melanocytes",1,"Unstransfected","No_SDF1",3,"HOUR_8",458406
"12","Melanocytes",1,"Unstransfected","No_SDF1",3,"HOUR_18",162580
"13","Melanocytes",1,"Unstransfected","No_SDF1",4,"HOUR_0",631836
"14","Melanocytes",1,"Unstransfected","No_SDF1",4,"HOUR_5",460564
"15","Melanocytes",1,"Unstransfected","No_SDF1",4,"HOUR_8",366626
"16","Melanocytes",1,"Unstransfected","No_SDF1",4,"HOUR_18",208644
"17","Melanocytes",1,"Scramble","No_SDF1",1,"HOUR_0",524812
"18","Melanocytes",1,"Scramble","No_SDF1",1,"HOUR_5",458959
"19","Melanocytes",1,"Scramble","No_SDF1",1,"HOUR_8",404298
"20","Melanocytes",1,"Scramble","No_SDF1",1,"HOUR_18",29290
"21","Melanocytes",1,"Scramble","No_SDF1",2,"HOUR_0",634933
"22","Melanocytes",1,"Scramble","No_SDF1",2,"HOUR_5",430453
"23","Melanocytes",1,"Scramble","No_SDF1",2,"HOUR_8",314675
"24","Melanocytes",1,"Scramble","No_SDF1",2,"HOUR_18",58413
"25","Melanocytes",1,"Scramble","No_SDF1",3,"HOUR_0",633791
"26","Melanocytes",1,"Scramble","No_SDF1",3,"HOUR_5",488997
"27","Melanocytes",1,"Scramble","No_SDF1",3,"HOUR_8",352173
"28","Melanocytes",1,"Scramble","No_SDF1",3,"HOUR_18",60078
"29","Melanocytes",1,"Scramble","No_SDF1",4,"HOUR_0",566882
"30","Melanocytes",1,"Scramble","No_SDF1",4,"HOUR_5",407632
"31","Melanocytes",1,"Scramble","No_SDF1",4,"HOUR_8",330469
"32","Melanocytes",1,"Scramble","No_SDF1",4,"HOUR_18",177214
"33","Melanocytes",1,"CXCR7_siRNA","No_SDF1",1,"HOUR_0",659482
"34","Melanocytes",1,"CXCR7_siRNA","No_SDF1",1,"HOUR_5",539615
"35","Melanocytes",1,"CXCR7_siRNA","No_SDF1",1,"HOUR_8",422321
"36","Melanocytes",1,"CXCR7_siRNA","No_SDF1",1,"HOUR_18",276971
"37","Melanocytes",1,"CXCR7_siRNA","No_SDF1",2,"HOUR_0",658264
"38","Melanocytes",1,"CXCR7_siRNA","No_SDF1",2,"HOUR_5",584107
"39","Melanocytes",1,"CXCR7_siRNA","No_SDF1",2,"HOUR_8",524329
"40","Melanocytes",1,"CXCR7_siRNA","No_SDF1",2,"HOUR_18",240614
"41","Melanocytes",1,"CXCR7_siRNA","No_SDF1",3,"HOUR_0",610796
"42","Melanocytes",1,"CXCR7_siRNA","No_SDF1",3,"HOUR_5",532805
